Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Germ-P2S2-ACN-b_S166.ITS1.R1	Germ-P2S2-ACN-b_S166.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	10860.0	0.0	227-231	44.0	20.828729281767956	228.94926335174955	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-b_S166.ITS1.R2	Germ-P2S2-ACN-b_S166.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	10860.0	0.0	229-232	42.0	45.2670349907919	231.00193370165746	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-c_S167.ITS1.R1	Germ-P2S2-ACN-c_S167.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16024.0	0.0	227-231	45.0	14.890164752870694	228.9551922116825	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-ACN-c_S167.ITS1.R2	Germ-P2S2-ACN-c_S167.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16024.0	0.0	229-233	44.0	36.008487269096356	231.00156015976037	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-a_S217.ITS1.R1	Germ-P2S2-Chanvre-a_S217.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13435.0	0.0	227-231	47.0	17.722366951991066	228.95333085225158	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-a_S217.ITS1.R2	Germ-P2S2-Chanvre-a_S217.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13435.0	0.0	229-233	45.0	42.91030889467808	231.00282843319687	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-b_S218.ITS1.R1	Germ-P2S2-Chanvre-b_S218.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	11684.0	0.0	227-232	47.0	17.921944539541254	228.9530126668949	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-b_S218.ITS1.R2	Germ-P2S2-Chanvre-b_S218.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	11684.0	0.0	229-232	47.0	44.87333105100993	231.00265320095858	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-c_S219.ITS1.R1	Germ-P2S2-Chanvre-c_S219.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	11746.0	0.0	227-231	46.0	19.0618082751575	228.95445257960156	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Chanvre-c_S219.ITS1.R2	Germ-P2S2-Chanvre-c_S219.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	11746.0	0.0	230-233	45.0	44.43214711391112	231.00323514387875	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-a_S191.ITS1.R1	Germ-P2S2-Colza-a_S191.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	11767.0	0.0	227-231	46.0	19.070281295147446	228.95376901504207	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-a_S191.ITS1.R2	Germ-P2S2-Colza-a_S191.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	11767.0	0.0	229-233	45.0	43.103594799014196	231.00365428741395	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-b_S192.ITS1.R1	Germ-P2S2-Colza-b_S192.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	10295.0	0.0	227-231	47.0	20.971345313258862	228.9470616804274	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-b_S192.ITS1.R2	Germ-P2S2-Colza-b_S192.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	10295.0	0.0	230-232	45.0	45.54638173870811	231.00339970859642	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-c_S193.ITS1.R1	Germ-P2S2-Colza-c_S193.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	9146.0	0.0	227-231	47.0	21.014651213645312	228.95003280122458	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-c_S193.ITS1.R2	Germ-P2S2-Colza-c_S193.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	9146.0	0.0	229-233	46.0	45.40782855893287	231.00382680953422	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-a_S194.ITS1.R1	Germ-P2S2-Colza-myro-a_S194.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13472.0	0.0	227-231	47.0	16.345011876484563	228.95702197149643	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-a_S194.ITS1.R2	Germ-P2S2-Colza-myro-a_S194.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13472.0	0.0	229-233	45.0	40.5730403800475	231.00282066508314	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-b_S195.ITS1.R1	Germ-P2S2-Colza-myro-b_S195.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	11902.0	0.0	227-231	47.0	18.03898504453033	228.95538564947068	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-b_S195.ITS1.R2	Germ-P2S2-Colza-myro-b_S195.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	11902.0	0.0	229-232	45.0	41.87531507309696	231.00210048731304	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-c_S196.ITS1.R1	Germ-P2S2-Colza-myro-c_S196.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16107.0	0.0	227-231	47.0	14.037375054324208	228.957658161048	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Colza-myro-c_S196.ITS1.R2	Germ-P2S2-Colza-myro-c_S196.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16107.0	0.0	229-233	46.0	36.16440057118023	231.00285590116098	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-a_S168.ITS1.R1	Germ-P2S2-GR24-a_S168.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	9917.0	0.0	227-231	45.0	19.753957850156297	228.94695976605828	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-a_S168.ITS1.R2	Germ-P2S2-GR24-a_S168.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	9917.0	0.0	229-233	43.0	46.60683674498336	231.00322678229304	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-b_S169.ITS1.R1	Germ-P2S2-GR24-b_S169.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	10516.0	0.0	227-231	48.0	16.85051350323317	228.95340433624952	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-b_S169.ITS1.R2	Germ-P2S2-GR24-b_S169.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	10516.0	0.0	229-233	47.0	45.32141498668695	231.0028527957398	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-c_S170.ITS1.R1	Germ-P2S2-GR24-c_S170.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12025.0	0.0	227-231	44.0	19.467775467775468	228.9485239085239	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-GR24-c_S170.ITS1.R2	Germ-P2S2-GR24-c_S170.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12025.0	0.0	230-232	43.0	43.54261954261954	231.00299376299375	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-a_S220.ITS1.R1	Germ-P2S2-Tabac-a_S220.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	11550.0	0.0	227-231	45.0	19.03030303030303	228.95333333333335	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-a_S220.ITS1.R2	Germ-P2S2-Tabac-a_S220.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	11550.0	0.0	227-233	43.0	44.761904761904766	231.00320346320348	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-b_S221.ITS1.R1	Germ-P2S2-Tabac-b_S221.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13353.0	0.0	227-231	47.0	15.681869242866773	228.95768741106866	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-b_S221.ITS1.R2	Germ-P2S2-Tabac-b_S221.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13353.0	0.0	230-233	45.0	39.197184153373776	231.0033700292069	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-c_S222.ITS1.R1	Germ-P2S2-Tabac-c_S222.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12350.0	0.0	227-231	46.0	18.194331983805668	228.95562753036438	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P2S2-Tabac-c_S222.ITS1.R2	Germ-P2S2-Tabac-c_S222.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12350.0	0.0	229-232	45.0	42.72874493927126	231.0017004048583	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-a_S172.ITS1.R1	Germ-P3S2-ACN-a_S172.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	18517.0	0.0	227-231	45.0	13.700923475725011	228.9550683156019	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-a_S172.ITS1.R2	Germ-P3S2-ACN-a_S172.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	18517.0	0.0	230-233	44.0	34.03359075444187	231.00108008856725	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-b_S173.ITS1.R1	Germ-P3S2-ACN-b_S173.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12794.0	0.0	227-231	45.0	15.272784117555105	228.95521338127247	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-b_S173.ITS1.R2	Germ-P3S2-ACN-b_S173.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12794.0	0.0	229-232	45.0	39.15116460841019	231.0014850711271	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-c_S174.ITS1.R1	Germ-P3S2-ACN-c_S174.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	15245.0	0.0	227-231	44.0	14.037389307969828	228.95565759265332	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-ACN-c_S174.ITS1.R2	Germ-P3S2-ACN-c_S174.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	15245.0	0.0	229-233	42.0	35.64447359790095	231.00150869137423	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-a_S223.ITS1.R1	Germ-P3S2-Chanvre-a_S223.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12536.0	0.0	227-231	45.0	16.711869814932992	228.95524888321634	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-a_S223.ITS1.R2	Germ-P3S2-Chanvre-a_S223.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12536.0	0.0	229-232	44.0	36.67836630504148	231.001356094448	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-b_S224.ITS1.R1	Germ-P3S2-Chanvre-b_S224.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12313.0	0.0	227-231	46.0	16.096808251441566	228.95793064241047	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-b_S224.ITS1.R2	Germ-P3S2-Chanvre-b_S224.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12313.0	0.0	229-233	45.0	38.67457159100138	231.00162429952084	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-c_S225.ITS1.R1	Germ-P3S2-Chanvre-c_S225.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	14454.0	0.0	227-231	45.0	14.079147640791476	228.95385360453852	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Chanvre-c_S225.ITS1.R2	Germ-P3S2-Chanvre-c_S225.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	14454.0	0.0	229-233	44.0	36.73031686730317	231.00242147502422	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-a_S198.ITS1.R1	Germ-P3S2-Colza-a_S198.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17325.0	0.0	227-231	44.0	13.696969696969695	228.95261183261184	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-a_S198.ITS1.R2	Germ-P3S2-Colza-a_S198.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17325.0	0.0	229-233	44.0	35.22655122655123	231.0017316017316	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-b_S199.ITS1.R1	Germ-P3S2-Colza-b_S199.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17097.0	0.0	227-231	45.0	13.02567701936012	228.95689302216763	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-b_S199.ITS1.R2	Germ-P3S2-Colza-b_S199.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17097.0	0.0	229-233	45.0	34.39784757559806	231.00134526525122	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-c_S200.ITS1.R1	Germ-P3S2-Colza-c_S200.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	15805.0	0.0	227-231	45.0	13.173046504270799	228.9579879784878	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-c_S200.ITS1.R2	Germ-P3S2-Colza-c_S200.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	15805.0	0.0	230-233	44.0	33.963935463460935	231.00113888010122	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-a_S201.ITS1.R1	Germ-P3S2-Colza-myro-a_S201.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	17833.0	0.0	227-231	45.0	13.121740593282116	228.95598048561655	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-a_S201.ITS1.R2	Germ-P3S2-Colza-myro-a_S201.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	17833.0	0.0	229-233	45.0	34.867941456849664	231.00229910839454	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-b_S202.ITS1.R1	Germ-P3S2-Colza-myro-b_S202.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16942.0	0.0	196-231	45.0	12.306693424625193	228.95490496989729	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-b_S202.ITS1.R2	Germ-P3S2-Colza-myro-b_S202.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16942.0	0.0	230-233	45.0	33.343170818085234	231.00011804981702	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-c_S203.ITS1.R1	Germ-P3S2-Colza-myro-c_S203.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	15797.0	0.0	227-231	45.0	12.742925872001013	228.95771348990314	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Colza-myro-c_S203.ITS1.R2	Germ-P3S2-Colza-myro-c_S203.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	15797.0	0.0	230-233	45.0	32.075710577957835	231.0020890042413	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-GR24-a_S175.ITS1.R1	Germ-P3S2-GR24-a_S175.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13089.0	0.0	227-231	45.0	16.005806402322563	228.95576438230574	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-GR24-a_S175.ITS1.R2	Germ-P3S2-GR24-a_S175.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13089.0	0.0	229-233	43.0	38.32225532890213	231.00160440064175	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-GR24-b_S176.ITS1.R1	Germ-P3S2-GR24-b_S176.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12429.0	0.0	227-231	44.0	15.455788880843189	228.95719687826858	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-GR24-b_S176.ITS1.R2	Germ-P3S2-GR24-b_S176.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12429.0	0.0	229-233	41.0	37.621691206050365	231.00257462386355	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-GR24-c_S177.ITS1.R1	Germ-P3S2-GR24-c_S177.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	15401.0	0.0	227-231	46.0	13.096552171936887	228.9537692357639	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-GR24-c_S177.ITS1.R2	Germ-P3S2-GR24-c_S177.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	15401.0	0.0	230-233	45.0	32.82903707551458	231.00129861697292	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-a_S226.ITS1.R1	Germ-P3S2-Tabac-a_S226.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	14728.0	0.0	227-231	45.0	14.428299837045083	228.9575638240087	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-a_S226.ITS1.R2	Germ-P3S2-Tabac-a_S226.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	14728.0	0.0	229-233	44.0	36.33894622487778	231.00033948940793	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-b_S227.ITS1.R1	Germ-P3S2-Tabac-b_S227.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16684.0	0.0	227-231	44.0	13.426036921601533	228.96062095420763	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-b_S227.ITS1.R2	Germ-P3S2-Tabac-b_S227.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16684.0	0.0	229-233	44.0	35.177415487892596	231.00071925197796	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-c_S228.ITS1.R1	Germ-P3S2-Tabac-c_S228.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	16713.0	0.0	227-231	44.0	14.970382337102853	228.9582361036319	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P3S2-Tabac-c_S228.ITS1.R2	Germ-P3S2-Tabac-c_S228.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	16713.0	0.0	229-233	43.0	36.27714952432238	231.00173517621013	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-a_S178.ITS1.R1	Germ-P4S1-ACN-a_S178.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13321.0	0.0	227-231	45.0	16.042339163726446	228.95578410029276	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-a_S178.ITS1.R2	Germ-P4S1-ACN-a_S178.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13321.0	0.0	230-233	45.0	41.46085128744088	231.00397868027926	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-b_S179.ITS1.R1	Germ-P4S1-ACN-b_S179.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12802.0	0.0	227-231	46.0	14.927355100765505	228.94914857053584	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-b_S179.ITS1.R2	Germ-P4S1-ACN-b_S179.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12802.0	0.0	229-233	46.0	41.665364786752065	231.00242149664115	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-c_S180.ITS1.R1	Germ-P4S1-ACN-c_S180.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	12148.0	0.0	227-231	46.0	15.615739216331907	228.95143233454067	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-ACN-c_S180.ITS1.R2	Germ-P4S1-ACN-c_S180.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	12148.0	0.0	229-232	46.0	42.08100098781692	231.00222258808034	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-a_S229.ITS1.R1	Germ-P4S1-Chanvre-a_S229.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13509.0	0.0	227-231	46.0	15.811681101487899	228.94788659412242	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-a_S229.ITS1.R2	Germ-P4S1-Chanvre-a_S229.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13509.0	0.0	229-233	46.0	41.031904656155156	231.0047375823525	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-b_S230.ITS1.R1	Germ-P4S1-Chanvre-b_S230.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	15021.0	0.0	227-231	46.0	15.584847879635177	228.95699354237402	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-b_S230.ITS1.R2	Germ-P4S1-Chanvre-b_S230.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	15021.0	0.0	229-233	45.0	39.97070767592038	231.00199720391453	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-c_S231.ITS1.R1	Germ-P4S1-Chanvre-c_S231.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	13418.0	0.0	227-231	45.0	15.598449843493814	228.95640184826354	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Chanvre-c_S231.ITS1.R2	Germ-P4S1-Chanvre-c_S231.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	13418.0	0.0	213-233	45.0	40.617081532270085	231.00059621404085	pass	warn	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Colza-a_S205.ITS1.R1	Germ-P4S1-Colza-a_S205.ITS1.R1.fq	Conventional base calls	Sanger / Illumina 1.9	9817.0	0.0	227-231	45.0	15.605582153407354	228.95344810023428	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
Germ-P4S1-Colza-a_S205.ITS1.R2	Germ-P4S1-Colza-a_S205.ITS1.R2.fq	Conventional base calls	Sanger / Illumina 1.9	9817.0	0.0	230-233	45.0	38.127737598044206	231.00101864113273	pass	fail	fail	pass	fail	fail	pass	warn	fail	fail	pass
