index,D_0__Archaea;D_1__Euryarchaeota,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__BRC1,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Chlamydiae,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Entotheonellaeota,D_0__Bacteria;D_1__FBP,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Tenericutes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__WPS-2,D_0__Bacteria;D_1__WS2,D_0__Bacteria;__,D_0__Eukaryota;__,Unassigned;__,Category,sample,host,plot,MLG
Soil_P7S4_c,0.0,0.0,172.0,1486.0,165.0,15.0,0.0,815.0,0.0,86.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,28.0,331.0,0.0,0.0,46.0,46.0,0.0,9.0,176.0,4902.0,101.0,0.0,551.0,0.0,0.0,0.0,0.0,0.0,Soil,P7S4,hemp,P7,MLG14
Seed_P1S3_b,0.0,0.0,0.0,0.0,222.0,0.0,0.0,3730.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8804.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,Seed,P1S3,oIlseed_rape,P1,MLG16
Soil_P4S1_c,0.0,0.0,15.0,1195.0,115.0,34.0,4.0,561.0,0.0,48.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,451.0,0.0,0.0,55.0,58.0,0.0,11.0,121.0,5798.0,57.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,Soil,P4S1,tobacco,P4,MLG1
Seed_P3S1_a,0.0,0.0,0.0,15.0,313.0,0.0,0.0,1759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7570.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Seed_P4S3_c,0.0,0.0,10.0,43.0,509.0,0.0,0.0,2351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8124.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S3,tobacco,P4,MLG3
Seed_P3S2_a,0.0,0.0,0.0,0.0,148.0,0.0,0.0,1746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5736.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,Seed,P3S2,tobacco,P3,MLG7
Seed_Pram_120_c,0.0,0.0,3.0,0.0,157.0,0.0,0.0,836.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Soil_P3S3_a,0.0,0.0,36.0,4848.0,303.0,42.0,0.0,1232.0,0.0,28.0,34.0,0.0,0.0,9.0,0.0,0.0,0.0,47.0,802.0,0.0,0.0,14.0,104.0,0.0,4.0,112.0,4500.0,37.0,0.0,329.0,0.0,0.0,2.0,0.0,0.0,Soil,P3S3,tobacco,P3,MLG7
Soil_P4S3_b,22.0,0.0,0.0,1940.0,183.0,53.0,0.0,771.0,0.0,110.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1467.0,0.0,0.0,49.0,43.0,0.0,2.0,165.0,6245.0,33.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,Soil,P4S3,tobacco,P4,MLG3
Seed_P1S4_c,0.0,0.0,0.0,0.0,364.0,0.0,0.0,3816.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9336.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Soil_P7S1_a,0.0,0.0,811.0,3656.0,302.0,0.0,13.0,1621.0,0.0,64.0,0.0,0.0,9.0,42.0,0.0,0.0,0.0,33.0,481.0,0.0,0.0,91.0,90.0,0.0,0.0,130.0,5937.0,54.0,0.0,687.0,0.0,0.0,9.0,0.0,0.0,Soil,P7S1,hemp,P7,MLG13
Seed_P3S5_c,0.0,0.0,0.0,20.0,140.0,0.0,0.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Seed_P3S1_b,0.0,0.0,0.0,0.0,422.0,0.0,0.0,1386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Seed_P3S1_c,0.0,0.0,0.0,0.0,295.0,0.0,0.0,1306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6545.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Germ_P4S1_Chanvre_a,0.0,0.0,0.0,0.0,23.0,41.0,0.0,1597.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9519.0,0.0,0.0,728.0,0.0,0.0,3.0,0.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P4S4_c,0.0,0.0,8.0,0.0,294.0,0.0,0.0,932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Seed,P4S4,tobacco,P4,MLG4
Germ_P6S1_Colza_myro_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808.0,0.0,0.0,23.0,0.0,21.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7863.0,0.0,0.0,471.0,0.0,0.0,0.0,0.0,17.0,Germ,P6S1,hemp,P6,MLG12
Soil_P7S1_b,0.0,0.0,756.0,3364.0,253.0,0.0,0.0,1269.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,287.0,0.0,0.0,119.0,57.0,3.0,2.0,112.0,4470.0,42.0,0.0,705.0,0.0,0.0,4.0,0.0,0.0,Soil,P7S1,hemp,P7,MLG13
Seed_P2S1_b,0.0,0.0,0.0,6.0,209.0,0.0,0.0,2404.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P2S1,oIlseed_rape,P2,MLG15
Germ_P2S2_Colza_b,0.0,0.0,0.0,0.0,31.0,40.0,0.0,2113.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8169.0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P3S2_ACN_c,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6354.0,0.0,0.0,362.0,0.0,0.0,5.0,0.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P4S1_Chanvre_b,0.0,0.0,0.0,0.0,32.0,22.0,0.0,1619.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,7494.0,0.0,0.0,598.0,0.0,0.0,0.0,0.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P6S3_b,0.0,0.0,0.0,0.0,81.0,0.0,0.0,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5668.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,Seed,P6S3,hemp,P6,MLG10
Soil_P6S1_c,0.0,0.0,0.0,2242.0,442.0,52.0,15.0,1103.0,0.0,238.0,83.0,0.0,0.0,18.0,0.0,0.0,60.0,147.0,931.0,0.0,0.0,16.0,41.0,8.0,6.0,234.0,6672.0,119.0,0.0,555.0,0.0,0.0,9.0,0.0,0.0,Soil,P6S1,hemp,P6,MLG12
Seed_P5S2_b,0.0,0.0,0.0,31.0,296.0,0.0,0.0,509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Seed,P5S2,tobacco,P5,MLG9
Soil_P5S1_a,0.0,0.0,0.0,1245.0,77.0,0.0,0.0,1028.0,0.0,18.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,519.0,0.0,0.0,9.0,31.0,0.0,0.0,152.0,6810.0,45.0,0.0,262.0,0.0,0.0,0.0,0.0,0.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P3S2_Chanvre_b,0.0,0.0,0.0,0.0,28.0,35.0,0.0,2301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7325.0,0.0,0.0,223.0,0.0,0.0,55.0,0.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P7S1_c,0.0,0.0,1036.0,3770.0,341.0,2.0,0.0,1354.0,0.0,239.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,50.0,343.0,0.0,0.0,177.0,91.0,0.0,14.0,325.0,4913.0,54.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,Soil,P7S1,hemp,P7,MLG13
Germ_P6S1_Colza_b,0.0,0.0,0.0,0.0,0.0,40.0,0.0,1813.0,0.0,0.0,151.0,0.0,12.0,0.0,0.0,27.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8555.0,0.0,0.0,594.0,0.0,0.0,0.0,0.0,0.0,Germ,P6S1,hemp,P6,MLG12
Germ_P2S2_Colza_myro_c,0.0,0.0,0.0,14.0,55.0,71.0,0.0,2102.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,7797.0,0.0,0.0,319.0,0.0,0.0,6.0,0.0,4.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P3S4_a,31.0,0.0,42.0,4286.0,433.0,18.0,0.0,970.0,0.0,183.0,69.0,0.0,0.0,26.0,0.0,0.0,0.0,40.0,1313.0,0.0,0.0,21.0,157.0,0.0,0.0,281.0,5933.0,0.0,0.0,546.0,0.0,0.0,2.0,0.0,0.0,Soil,P3S4,tobacco,P3,MLG7
Soil_P4S3_a,13.0,0.0,0.0,2006.0,123.0,17.0,11.0,1115.0,0.0,70.0,8.0,0.0,0.0,13.0,0.0,0.0,0.0,14.0,2015.0,0.0,0.0,0.0,43.0,0.0,9.0,402.0,6934.0,40.0,0.0,557.0,0.0,13.0,0.0,0.0,0.0,Soil,P4S3,tobacco,P4,MLG3
Germ_P3S2_Chanvre_a,0.0,0.0,0.0,0.0,31.0,11.0,0.0,1712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9212.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,7.0,Germ,P3S2,tobacco,P3,MLG7
Seed_H2O_a,0.0,0.0,0.0,56.0,520.0,0.0,0.0,1928.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,161.0,0.0,0.0,0.0,0.0,0.0,14.0,260.0,10897.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,Seed,H2O,NA,NA,NA
Seed_P2S4_b,0.0,0.0,0.0,0.0,213.0,0.0,0.0,2311.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P2S4,oIlseed_rape,P2,MLG17
Soil_P4S1_a,4.0,0.0,17.0,2121.0,274.0,36.0,0.0,1000.0,0.0,99.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,730.0,0.0,0.0,91.0,78.0,0.0,6.0,250.0,7970.0,79.0,0.0,204.0,0.0,0.0,2.0,0.0,0.0,Soil,P4S1,tobacco,P4,MLG1
Soil_P6S2_c,0.0,0.0,52.0,2398.0,241.0,87.0,0.0,934.0,0.0,171.0,32.0,0.0,0.0,48.0,0.0,0.0,0.0,93.0,965.0,0.0,0.0,49.0,66.0,0.0,21.0,94.0,6659.0,77.0,0.0,527.0,0.0,0.0,7.0,0.0,0.0,Soil,P6S2,hemp,P6,MLG11
Germ_P6S1_Chanvre_c,0.0,0.0,0.0,0.0,0.0,57.0,0.0,901.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8394.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,Germ,P6S1,hemp,P6,MLG12
Soil_P2S4_b,0.0,0.0,104.0,2822.0,339.0,0.0,3.0,1238.0,0.0,51.0,3.0,0.0,5.0,32.0,27.0,0.0,0.0,81.0,305.0,0.0,0.0,31.0,53.0,0.0,0.0,324.0,4105.0,37.0,0.0,557.0,0.0,0.0,0.0,0.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Germ_P6S1_ACN_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6558.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,Germ,P6S1,hemp,P6,MLG12
Seed_P7S2_b,0.0,0.0,0.0,0.0,242.0,0.0,0.0,1183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6661.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,Seed,P7S2,hemp,P7,MLG13
Seed_P3S4_b,0.0,0.0,0.0,15.0,171.0,0.0,0.0,1716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S4,tobacco,P3,MLG7
Seed_P2S2_c,0.0,0.0,0.0,0.0,174.0,0.0,0.0,1920.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P2S2,oIlseed_rape,P2,MLG17
Seed_Pram_120_d_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11830.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120_d,oIlseed_rape,P0,NA
Soil_P5S1_c,0.0,0.0,0.0,1259.0,234.0,0.0,0.0,911.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,0.0,0.0,29.0,0.0,0.0,86.0,6305.0,37.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P4S1_Tabac_a,0.0,0.0,0.0,0.0,5.0,25.0,0.0,1935.0,5.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7307.0,0.0,0.0,890.0,0.0,0.0,18.0,0.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P6S2_c,0.0,0.0,0.0,0.0,101.0,0.0,0.0,2977.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P6S2,hemp,P6,MLG11
Seed_P4S4_b,0.0,0.0,9.0,0.0,433.0,0.0,0.0,966.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Seed_H2O_c,0.0,0.0,22.0,140.0,657.0,0.0,0.0,2086.0,0.0,77.0,1445.0,0.0,0.0,0.0,0.0,0.0,0.0,831.0,312.0,0.0,0.0,0.0,0.0,0.0,71.0,42.0,11146.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,Seed,H2O,NA,NA,NA
Germ_P6S1_ACN_b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1271.0,0.0,0.0,13.0,0.0,10.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7457.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,Germ,P6S1,hemp,P6,MLG12
Germ_P6S1_Chanvre_b,0.0,0.0,0.0,0.0,0.0,12.0,0.0,613.0,0.0,0.0,14.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7787.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,3.0,Germ,P6S1,hemp,P6,MLG12
Germ_Control_a,0.0,0.0,0.0,57.0,462.0,0.0,0.0,1587.0,0.0,0.0,1636.0,215.0,0.0,0.0,0.0,0.0,0.0,1563.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5865.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,Germ,Control,NA,NA,NA
Germ_P3S2_Colza_a,0.0,0.0,0.0,0.0,35.0,44.0,0.0,1870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,7756.0,0.0,0.0,569.0,0.0,0.0,3.0,0.0,4.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P3S4_c,0.0,0.0,66.0,4194.0,341.0,58.0,0.0,1671.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,47.0,708.0,0.0,0.0,31.0,94.0,0.0,0.0,43.0,4445.0,0.0,0.0,542.0,0.0,0.0,0.0,0.0,3.0,Soil,P3S4,tobacco,P3,MLG7
Seed_P6S1_a,0.0,0.0,0.0,0.0,185.0,0.0,0.0,2414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8569.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,Seed,P6S1,hemp,P6,MLG12
Seed_Pram_120_d_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120_d,oIlseed_rape,P0,NA
Soil_P6S3_b,0.0,0.0,0.0,2024.0,472.0,84.0,0.0,1255.0,0.0,112.0,0.0,0.0,0.0,63.0,0.0,21.0,0.0,63.0,652.0,0.0,0.0,23.0,51.0,0.0,0.0,250.0,6404.0,33.0,0.0,935.0,0.0,0.0,3.0,0.0,0.0,Soil,P6S3,hemp,P6,MLG10
Seed_P3S5_b,0.0,0.0,0.0,0.0,191.0,0.0,0.0,1744.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Seed_P4S1_c,0.0,0.0,0.0,0.0,235.0,0.0,0.0,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6719.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S1,tobacco,P4,MLG1
