index,Unassigned,k__Fungi,k__Rhizaria,Category,sample,host,plot,MLG
Germ_P4S1_Tabac_b,12.0,4620.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P7S2_c,2.0,8919.0,0.0,Soil,P7S2,hemp,P7,MLG13
Germ_Control_b,0.0,7932.0,0.0,Germ,Control,NA,NA,NA
Soil_P6S2_c,0.0,6040.0,8.0,Soil,P6S2,hemp,P6,MLG11
Germ_P4S1_GR24_a,88.0,3709.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P3S2_Colza_myro_c,0.0,8133.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P4S1_Chanvre_a,30.0,4285.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P3S3_a,0.0,9380.0,6.0,Soil,P3S3,tobacco,P3,MLG7
Germ_P6S1_Chanvre_c,0.0,2492.0,7.0,Germ,P6S1,hemp,P6,MLG12
Seed_P3S4_c,0.0,11183.0,0.0,Seed,P3S4,tobacco,P3,MLG7
Seed_P6S1_a,0.0,10173.0,0.0,Seed,P6S1,hemp,P6,MLG12
Soil_P2S4_b,0.0,8532.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Soil_P6S3_c,0.0,7502.0,12.0,Soil,P6S3,hemp,P6,MLG10
Germ_P3S2_Colza_myro_a,0.0,8587.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P7S1_b,0.0,8811.0,0.0,Seed,P7S1,hemp,P7,MLG13
Germ_P6S1_Colza_c,0.0,7557.0,13.0,Germ,P6S1,hemp,P6,MLG12
Soil_P5S1_b,15.0,6805.0,18.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P6S1_ACN_b,0.0,7953.0,5.0,Germ,P6S1,hemp,P6,MLG12
Germ_P2S2_Chanvre_c,0.0,4651.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P3S3_b,0.0,9603.0,0.0,Soil,P3S3,tobacco,P3,MLG7
Seed_P1S1_c,0.0,10463.0,0.0,Seed,P1S1,oIlseed_rape,P1,MLG17
Seed_P1S4_a,0.0,10315.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Soil_P4S2_a,0.0,7592.0,132.0,Soil,P4S2,tobacco,P4,MLG2
Seed_Mock_a,0.0,4901.0,0.0,Seed,Mock,NA,NA,NA
Seed_P6S2_a,0.0,9493.0,0.0,Seed,P6S2,hemp,P6,MLG11
Seed_P7S3_b,0.0,8440.0,0.0,Seed,P7S3,hemp,P7,MLG14
Soil_P2S3_c,0.0,7720.0,0.0,Soil,P2S3,oIlseed_rape,P2,MLG17
Seed_P2S4_a,0.0,11557.0,0.0,Seed,P2S4,oIlseed_rape,P2,MLG17
Soil_P3S1_c,0.0,8089.0,0.0,Soil,P3S1,tobacco,P3,MLG6
Seed_P1S1_a,0.0,10962.0,0.0,Seed,P1S1,oIlseed_rape,P1,MLG17
Soil_P6S1_a,0.0,6198.0,0.0,Soil,P6S1,hemp,P6,MLG12
Germ_P4S1_GR24_c,26.0,4157.0,4.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P7S4_a,0.0,7553.0,2.0,Soil,P7S4,hemp,P7,MLG14
Seed_PBS_b,0.0,7609.0,0.0,Seed,PBS,NA,NA,NA
Germ_Control_a,0.0,6177.0,0.0,Germ,Control,NA,NA,NA
Seed_P3S3_c,0.0,11139.0,0.0,Seed,P3S3,tobacco,P3,MLG7
Soil_P4S3_c,0.0,8995.0,11.0,Soil,P4S3,tobacco,P4,MLG3
Seed_Pram_120_b,0.0,7934.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Seed_P6S3_c,0.0,7631.0,0.0,Seed,P6S3,hemp,P6,MLG10
Soil_P5S1_a,0.0,6829.0,20.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P6S1_ACN_c,0.0,7288.0,7.0,Germ,P6S1,hemp,P6,MLG12
Seed_P1S1_b,0.0,8845.0,0.0,Seed,P1S1,oIlseed_rape,P1,MLG17
Seed_P4S3_c,0.0,12326.0,0.0,Seed,P4S3,tobacco,P4,MLG3
Soil_P3S3_c,0.0,6178.0,9.0,Soil,P3S3,tobacco,P3,MLG7
Germ_P3S2_GR24_a,13.0,5843.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P1S4_b,0.0,10587.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Seed_P5S2_c,0.0,9443.0,0.0,Seed,P5S2,tobacco,P5,MLG9
Germ_P4S1_GR24_b,413.0,7746.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P3S2_Chanvre_b,16.0,5720.0,8.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P1S3_b,0.0,11970.0,0.0,Seed,P1S3,oIlseed_rape,P1,MLG16
Seed_Pram_120_d_a,0.0,9504.0,0.0,Seed,Pram_120_d,oIlseed_rape,P0,NA
Soil_P4S4_c,3.0,6771.0,18.0,Soil,P4S4,tobacco,P4,MLG4
Soil_P7S1_c,0.0,9994.0,0.0,Soil,P7S1,hemp,P7,MLG13
Soil_P2S3_b,0.0,8154.0,0.0,Soil,P2S3,oIlseed_rape,P2,MLG17
Seed_P3S4_a,0.0,8563.0,0.0,Seed,P3S4,tobacco,P3,MLG7
Germ_P6S1_Chanvre_b,0.0,7641.0,15.0,Germ,P6S1,hemp,P6,MLG12
Soil_P3S4_b,2.0,7080.0,0.0,Soil,P3S4,tobacco,P3,MLG7
Germ_P3S2_GR24_c,0.0,7957.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P3S1_b,0.0,7720.0,17.0,Soil,P3S1,tobacco,P3,MLG6
Soil_P3S4_a,0.0,7354.0,32.0,Soil,P3S4,tobacco,P3,MLG7
Seed_P5S1_a,0.0,9019.0,0.0,Seed,P5S1,tobacco,P5,MLG8
Soil_P4S1_c,3.0,6870.0,8.0,Soil,P4S1,tobacco,P4,MLG1
Seed_H2O_b,0.0,7996.0,0.0,Seed,H2O,NA,NA,NA
Seed_P1S4_c,0.0,9983.0,0.0,Seed,P1S4,oIlseed_rape,P1,MLG17
Seed_P3S1_a,0.0,10071.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Seed_P4S4_c,0.0,8778.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Soil_P4S3_b,4.0,8088.0,25.0,Soil,P4S3,tobacco,P4,MLG3
Soil_P3S5_a,0.0,2744.0,11.0,Soil,P3S5,tobacco,P3,MLG5
Seed_P7S2_c,0.0,10012.0,0.0,Seed,P7S2,hemp,P7,MLG13
Germ_P2S2_Tabac_a,0.0,4647.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_P7S2_b,0.0,8942.0,0.0,Seed,P7S2,hemp,P7,MLG13
Seed_P6S3_a,0.0,29509.0,0.0,Seed,P6S3,hemp,P6,MLG10
Soil_P7S3_c,0.0,7534.0,10.0,Soil,P7S3,hemp,P7,MLG14
Germ_P4S1_ACN_b,2.0,3504.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P3S5_a,0.0,11177.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Germ_P6S1_Colza_myro_c,0.0,7967.0,7.0,Germ,P6S1,hemp,P6,MLG12
Seed_P4S2_b,0.0,9845.0,0.0,Seed,P4S2,tobacco,P4,MLG2
Soil_P4S4_a,0.0,7853.0,32.0,Soil,P4S4,tobacco,P4,MLG4
Germ_P3S2_Chanvre_c,0.0,7053.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_Pram_120_d_c,0.0,11017.0,0.0,Seed,Pram_120_d,oIlseed_rape,P0,NA
Seed_P4S2_c,0.0,12121.0,0.0,Seed,P4S2,tobacco,P4,MLG2
Germ_P3S2_Colza_c,0.0,7697.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P3S2_ACN_c,1646.0,5805.0,162.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P3S5_c,0.0,7275.0,25.0,Soil,P3S5,tobacco,P3,MLG5
Soil_P7S3_a,0.0,3397.0,0.0,Soil,P7S3,hemp,P7,MLG14
Seed_P5S2_a,0.0,10524.0,0.0,Seed,P5S2,tobacco,P5,MLG9
Seed_P6S3_b,0.0,9098.0,0.0,Seed,P6S3,hemp,P6,MLG10
Soil_P4S1_a,5.0,6591.0,29.0,Soil,P4S1,tobacco,P4,MLG1
Seed_P4S1_a,0.0,8535.0,0.0,Seed,P4S1,tobacco,P4,MLG1
Soil_P3S5_b,0.0,7206.0,0.0,Soil,P3S5,tobacco,P3,MLG5
Soil_P7S2_b,0.0,7054.0,0.0,Soil,P7S2,hemp,P7,MLG13
Germ_P2S2_Colza_myro_a,0.0,6358.0,8.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P4S1_b,2.0,6426.0,0.0,Soil,P4S1,tobacco,P4,MLG1
Seed_P3S2_a,0.0,7741.0,0.0,Seed,P3S2,tobacco,P3,MLG7
Seed_P2S2_c,0.0,9223.0,0.0,Seed,P2S2,oIlseed_rape,P2,MLG17
Soil_P3S2_b,0.0,7808.0,0.0,Soil,P3S2,tobacco,P3,MLG7
Seed_P1S2_b,0.0,8550.0,0.0,Seed,P1S2,oIlseed_rape,P1,MLG17
Germ_P3S2_ACN_b,411.0,4737.0,7.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P7S2_a,0.0,10382.0,0.0,Seed,P7S2,hemp,P7,MLG13
Germ_P6S1_Chanvre_a,0.0,3155.0,65.0,Germ,P6S1,hemp,P6,MLG12
Germ_P3S2_Colza_b,0.0,8511.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P2S2_c,0.0,6661.0,0.0,Soil,P2S2,oIlseed_rape,P2,MLG17
Germ_P2S2_GR24_b,5.0,4227.0,20.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P2S2_ACN_a,0.0,7493.0,8.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P2S2_Colza_c,0.0,3643.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_H2O_c,0.0,6508.0,0.0,Seed,H2O,NA,NA,NA
Soil_P2S1_a,0.0,7141.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Soil_Mock_a,0.0,5767.0,0.0,Soil,Mock,NA,NA,NA
Germ_P6S1_Tabac_a,0.0,5015.0,89.0,Germ,P6S1,hemp,P6,MLG12
Seed_P2S1_a,0.0,9775.0,0.0,Seed,P2S1,oIlseed_rape,P2,MLG15
Germ_P2S2_ACN_c,0.0,7734.0,16.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_Pram_120_c,0.0,8678.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Soil_P7S1_b,0.0,8423.0,2.0,Soil,P7S1,hemp,P7,MLG13
Seed_P2S2_b,0.0,9849.0,0.0,Seed,P2S2,oIlseed_rape,P2,MLG17
Soil_P4S2_c,0.0,7594.0,108.0,Soil,P4S2,tobacco,P4,MLG2
Soil_P6S2_b,0.0,8082.0,42.0,Soil,P6S2,hemp,P6,MLG11
Seed_P2S4_b,0.0,10073.0,0.0,Seed,P2S4,oIlseed_rape,P2,MLG17
Seed_P7S4_c,0.0,8385.0,0.0,Seed,P7S4,hemp,P7,MLG14
Seed_P2S4_c,0.0,11188.0,0.0,Seed,P2S4,oIlseed_rape,P2,MLG17
Soil_P3S1_a,0.0,7323.0,0.0,Soil,P3S1,tobacco,P3,MLG6
Seed_P2S2_a,0.0,10118.0,0.0,Seed,P2S2,oIlseed_rape,P2,MLG17
Soil_P3S2_a,0.0,7052.0,0.0,Soil,P3S2,tobacco,P3,MLG7
Soil_P4S3_a,0.0,7400.0,18.0,Soil,P4S3,tobacco,P4,MLG3
Soil_P5S1_c,0.0,5972.0,16.0,Soil,P5S1,tobacco,P5,MLG8
Germ_P6S1_Colza_myro_a,0.0,6382.0,172.0,Germ,P6S1,hemp,P6,MLG12
Germ_P4S1_Chanvre_b,46.0,5522.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P6S1_GR24_c,0.0,4101.0,14.0,Germ,P6S1,hemp,P6,MLG12
Soil_P4S2_b,3.0,7378.0,57.0,Soil,P4S2,tobacco,P4,MLG2
Soil_P5S2_c,4.0,7756.0,9.0,Soil,P5S2,tobacco,P5,MLG9
Germ_P2S2_Tabac_b,0.0,5951.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_P3S5_b,0.0,9991.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Seed_P5S1_c,0.0,9076.0,0.0,Seed,P5S1,tobacco,P5,MLG8
Soil_P3S4_c,0.0,8798.0,0.0,Soil,P3S4,tobacco,P3,MLG7
Germ_P4S1_ACN_a,0.0,3737.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P2S2_Tabac_c,0.0,5276.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_P7S1_c,0.0,11157.0,0.0,Seed,P7S1,hemp,P7,MLG13
Germ_P2S2_Colza_myro_b,6.0,5223.0,11.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_P2S1_b,0.0,8459.0,0.0,Seed,P2S1,oIlseed_rape,P2,MLG15
Seed_P5S1_b,0.0,8695.0,0.0,Seed,P5S1,tobacco,P5,MLG8
Soil_P2S4_a,0.0,8631.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Seed_P3S1_c,0.0,9759.0,0.0,Seed,P3S1,tobacco,P3,MLG6
Seed_P3S4_b,0.0,10264.0,0.0,Seed,P3S4,tobacco,P3,MLG7
Seed_Pram_120_d_b,0.0,8092.0,0.0,Seed,Pram_120_d,oIlseed_rape,P0,NA
Seed_P4S4_b,0.0,7650.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Germ_P2S2_Colza_a,0.0,5179.0,5.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P4S1_Tabac_c,34.0,4287.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P6S1_GR24_a,0.0,1431.0,0.0,Germ,P6S1,hemp,P6,MLG12
Germ_P6S1_Tabac_b,0.0,2289.0,0.0,Germ,P6S1,hemp,P6,MLG12
Germ_P6S1_Colza_a,0.0,6426.0,5.0,Germ,P6S1,hemp,P6,MLG12
Germ_P4S1_Colza_c,25.0,6088.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P4S1_Tabac_a,48.0,4681.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P1S3_c,0.0,13120.0,0.0,Seed,P1S3,oIlseed_rape,P1,MLG16
Seed_P1S2_a,0.0,8834.0,0.0,Seed,P1S2,oIlseed_rape,P1,MLG17
Seed_P3S3_b,0.0,12057.0,0.0,Seed,P3S3,tobacco,P3,MLG7
Soil_P6S3_a,0.0,7426.0,13.0,Soil,P6S3,hemp,P6,MLG10
Soil_P6S2_a,0.0,7934.0,7.0,Soil,P6S2,hemp,P6,MLG11
Soil_P7S3_b,0.0,4317.0,11.0,Soil,P7S3,hemp,P7,MLG14
Seed_P3S2_c,0.0,9211.0,0.0,Seed,P3S2,tobacco,P3,MLG7
Seed_P6S2_b,0.0,8342.0,0.0,Seed,P6S2,hemp,P6,MLG11
Germ_P3S2_Tabac_a,0.0,6634.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P7S4_a,0.0,10049.0,0.0,Seed,P7S4,hemp,P7,MLG14
Germ_P2S2_Chanvre_a,0.0,5485.0,18.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Seed_PBS_a,0.0,9589.0,0.0,Seed,PBS,NA,NA,NA
Germ_P3S2_Tabac_b,67.0,8077.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Soil_P7S2_a,0.0,4871.0,0.0,Soil,P7S2,hemp,P7,MLG13
Seed_P6S1_c,0.0,10921.0,0.0,Seed,P6S1,hemp,P6,MLG12
Seed_P3S3_a,0.0,10193.0,0.0,Seed,P3S3,tobacco,P3,MLG7
Seed_P2S1_c,0.0,9883.0,0.0,Seed,P2S1,oIlseed_rape,P2,MLG15
Germ_P4S1_Colza_a,6.0,2844.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P3S2_Colza_a,0.0,8361.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P3S2_Colza_myro_b,0.0,8183.0,0.0,Germ,P3S2,tobacco,P3,MLG7
Seed_P1S3_a,0.0,9192.0,0.0,Seed,P1S3,oIlseed_rape,P1,MLG16
Seed_P2S3_c,0.0,10668.0,0.0,Seed,P2S3,oIlseed_rape,P2,MLG17
Germ_P6S1_Colza_b,0.0,3638.0,10.0,Germ,P6S1,hemp,P6,MLG12
Germ_Mock_a,0.0,6127.0,0.0,Germ,Mock,NA,NA,NA
Seed_PBS_c,0.0,8701.0,0.0,Seed,PBS,NA,NA,NA
Seed_P2S3_b,0.0,10163.0,0.0,Seed,P2S3,oIlseed_rape,P2,MLG17
Seed_P4S3_b,0.0,9452.0,0.0,Seed,P4S3,tobacco,P4,MLG3
Seed_P7S3_a,0.0,7415.0,0.0,Seed,P7S3,hemp,P7,MLG14
Germ_P6S1_GR24_b,0.0,8347.0,25.0,Germ,P6S1,hemp,P6,MLG12
Soil_P6S3_b,0.0,6392.0,8.0,Soil,P6S3,hemp,P6,MLG10
