index,Unassigned;__;__,k__Fungi;__;__,k__Fungi;p__Ascomycota;__,k__Fungi;p__Ascomycota;c__Dothideomycetes,k__Fungi;p__Ascomycota;c__Eurotiomycetes,k__Fungi;p__Ascomycota;c__Leotiomycetes,k__Fungi;p__Ascomycota;c__Orbiliomycetes,k__Fungi;p__Ascomycota;c__Pezizomycetes,k__Fungi;p__Ascomycota;c__Saccharomycetes,k__Fungi;p__Ascomycota;c__Sordariomycetes,k__Fungi;p__Ascomycota;c__Taphrinomycetes,k__Fungi;p__Basidiomycota;__,k__Fungi;p__Basidiomycota;c__Agaricomycetes,k__Fungi;p__Basidiomycota;c__Agaricostilbomycetes,k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes,k__Fungi;p__Basidiomycota;c__Geminibasidiomycetes,k__Fungi;p__Basidiomycota;c__Malasseziomycetes,k__Fungi;p__Basidiomycota;c__Microbotryomycetes,k__Fungi;p__Basidiomycota;c__Pucciniomycetes,k__Fungi;p__Basidiomycota;c__Tremellomycetes,k__Fungi;p__Basidiomycota;c__Ustilaginomycetes,k__Fungi;p__Basidiomycota;c__unidentified,k__Fungi;p__Chytridiomycota;__,k__Fungi;p__Chytridiomycota;c__Chytridiomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophlyctidomycetes,k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes,k__Fungi;p__Chytridiomycota;c__Spizellomycetes,k__Fungi;p__Chytridiomycota;c__unidentified,k__Fungi;p__Entomophthoromycota;c__Basidiobolomycetes,k__Fungi;p__Glomeromycota;c__Paraglomeromycetes,k__Fungi;p__Kickxellomycota;c__Kickxellomycetes,k__Fungi;p__Mortierellomycota;__,k__Fungi;p__Mortierellomycota;c__Mortierellomycetes,k__Fungi;p__Mucoromycota;c__Mucoromycetes,k__Fungi;p__Olpidiomycota;c__Olpidiomycetes,k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis,k__Fungi;p__Rozellomycota;c__unidentified,k__Fungi;p__unidentified;c__unidentified,k__Rhizaria;p__Cercozoa;c__unidentified,Category,sample,host,plot,MLG
Seed_P7S3_c,0.0,207.0,0.0,2229.0,0.0,0.0,0.0,0.0,0.0,6223.0,0.0,30.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Seed,P7S3,hemp,P7,MLG14
Seed_P2S3_a,0.0,70.0,0.0,4592.0,0.0,16.0,0.0,0.0,0.0,4425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,Seed,P2S3,oIlseed_rape,P2,MLG17
Soil_P3S2_c,0.0,58.0,7.0,367.0,407.0,34.0,0.0,0.0,0.0,3951.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,953.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,277.0,0.0,Soil,P3S2,tobacco,P3,MLG7
Germ_P2S2_Chanvre_b,0.0,154.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,1821.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2581.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P2S2_ACN_b,0.0,671.0,0.0,296.0,5.0,0.0,0.0,0.0,0.0,2182.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1452.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P4S1_Colza_myro_b,19.0,49.0,7.0,804.0,0.0,0.0,0.0,0.0,0.0,1163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P4S1_Colza_myro_a,3.0,263.0,0.0,193.0,0.0,6.0,0.0,0.0,0.0,593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,4.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P7S1_a,0.0,224.0,34.0,1223.0,22.0,16.0,0.0,0.0,0.0,3480.0,0.0,40.0,151.0,0.0,0.0,0.0,0.0,7.0,0.0,213.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,4281.0,0.0,0.0,0.0,0.0,168.0,116.0,Soil,P7S1,hemp,P7,MLG13
Germ_P2S2_Colza_myro_c,4.0,301.0,7.0,302.0,0.0,3.0,0.0,0.0,0.0,5978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,833.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P7S4_c,0.0,709.0,5.0,1778.0,20.0,69.0,0.0,0.0,0.0,3735.0,0.0,29.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,128.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,22.0,0.0,0.0,0.0,0.0,2456.0,0.0,0.0,5.0,0.0,201.0,0.0,Soil,P7S4,hemp,P7,MLG14
Germ_P4S1_ACN_c,3.0,128.0,0.0,1407.0,0.0,0.0,0.0,0.0,0.0,1159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P6S1_ACN_a,0.0,141.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,8443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,0.0,Germ,P6S1,hemp,P6,MLG12
Seed_P4S4_a,0.0,0.0,0.0,1900.0,0.0,11.0,0.0,0.0,0.0,5461.0,0.0,18.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S4,tobacco,P4,MLG4
Soil_P2S1_b,0.0,384.0,20.0,1895.0,21.0,150.0,0.0,8.0,0.0,3625.0,0.0,0.0,21.0,0.0,0.0,6.0,0.0,19.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,1406.0,0.0,0.0,0.0,0.0,354.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Germ_P6S1_Colza_myro_b,0.0,93.0,0.0,982.0,0.0,0.0,0.0,0.0,0.0,2412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0,12.0,Germ,P6S1,hemp,P6,MLG12
Seed_P3S5_c,0.0,114.0,0.0,5069.0,5.0,0.0,0.0,0.0,0.0,2985.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,Seed,P3S5,tobacco,P3,MLG5
Germ_P4S1_Chanvre_c,38.0,0.0,0.0,1915.0,0.0,0.0,0.0,0.0,0.0,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1396.0,10.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P5S2_b,0.0,292.0,9.0,2060.0,13.0,102.0,0.0,3.0,0.0,2849.0,0.0,18.0,163.0,20.0,66.0,0.0,0.0,19.0,0.0,703.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,45.0,0.0,109.0,0.0,0.0,988.0,12.0,Soil,P5S2,tobacco,P5,MLG9
Seed_P4S1_c,0.0,8.0,0.0,4109.0,0.0,34.0,0.0,0.0,0.0,3314.0,0.0,16.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S1,tobacco,P4,MLG1
Germ_P2S2_Colza_b,0.0,158.0,4.0,213.0,9.0,0.0,0.0,0.0,0.0,2116.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,953.0,712.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P2S1_c,0.0,72.0,0.0,2115.0,55.0,0.0,0.0,6.0,0.0,3150.0,0.0,0.0,473.0,0.0,125.0,0.0,0.0,0.0,0.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,1158.0,0.0,Soil,P2S1,oIlseed_rape,P2,MLG15
Soil_P2S2_a,0.0,310.0,0.0,751.0,13.0,57.0,0.0,7.0,0.0,5085.0,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,0.0,0.0,0.0,0.0,11.0,767.0,0.0,0.0,0.0,0.0,277.0,2.0,Soil,P2S2,oIlseed_rape,P2,MLG17
Soil_P4S4_b,12.0,76.0,0.0,959.0,30.0,19.0,0.0,0.0,7.0,5484.0,0.0,14.0,199.0,0.0,16.0,14.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,44.0,0.0,0.0,522.0,10.0,Soil,P4S4,tobacco,P4,MLG4
Soil_P2S4_c,0.0,144.0,4.0,3790.0,20.0,37.0,0.0,0.0,0.0,3998.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,297.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,33.0,533.0,0.0,0.0,0.0,0.0,721.0,0.0,Soil,P2S4,oIlseed_rape,P2,MLG17
Seed_Pram_120_a,0.0,59.0,0.0,2255.0,2.0,15.0,0.0,0.0,0.0,5465.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Pram_120,oIlseed_rape,P0,NA
Germ_P2S2_GR24_c,37.0,845.0,0.0,365.0,0.0,6.0,0.0,0.0,0.0,2954.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,737.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Soil_P6S1_b,0.0,134.0,0.0,1187.0,65.0,48.0,0.0,0.0,0.0,3053.0,7.0,0.0,117.0,21.0,50.0,0.0,0.0,11.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,0.0,0.0,589.0,20.0,Soil,P6S1,hemp,P6,MLG12
Soil_P6S1_c,0.0,89.0,0.0,2134.0,99.0,95.0,0.0,11.0,0.0,4150.0,0.0,18.0,378.0,4.0,155.0,0.0,0.0,23.0,0.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,743.0,6.0,Soil,P6S1,hemp,P6,MLG12
Germ_Control_c,0.0,1303.0,0.0,2417.0,69.0,0.0,0.0,0.0,0.0,3708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,0.0,0.0,0.0,175.0,0.0,Germ,Control,NA,NA,NA
Germ_P2S2_GR24_a,0.0,374.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,1299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990.0,0.0,Germ,P2S2,oIlseed_rape,P2,MLG17
Germ_P4S1_Colza_b,40.0,68.0,0.0,1636.0,0.0,0.0,0.0,0.0,0.0,3078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_P3S2_b,0.0,27.0,0.0,6923.0,0.0,5.0,0.0,0.0,0.0,1458.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,Seed,P3S2,tobacco,P3,MLG7
Seed_H2O_a,0.0,0.0,0.0,2866.0,162.0,0.0,0.0,0.0,0.0,1468.0,0.0,0.0,1468.0,0.0,85.0,0.0,176.0,128.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,H2O,NA,NA,NA
Soil_P5S2_a,0.0,17.0,6.0,3199.0,10.0,20.0,0.0,15.0,6.0,2790.0,0.0,0.0,27.0,0.0,19.0,0.0,0.0,0.0,0.0,852.0,0.0,0.0,0.0,35.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,68.0,0.0,8.0,0.0,0.0,1027.0,6.0,Soil,P5S2,tobacco,P5,MLG9
Soil_P7S4_b,0.0,493.0,2.0,1532.0,7.0,49.0,0.0,0.0,0.0,5060.0,0.0,4.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1216.0,0.0,11.0,0.0,0.0,146.0,0.0,Soil,P7S4,hemp,P7,MLG14
Seed_P1S2_c,0.0,89.0,57.0,3753.0,4.0,6.0,0.0,0.0,0.0,3554.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,844.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,Seed,P1S2,oIlseed_rape,P1,MLG17
Seed_P5S2_b,0.0,13.0,0.0,4661.0,0.0,6.0,0.0,0.0,0.0,3325.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P5S2,tobacco,P5,MLG9
Germ_P4S1_Colza_myro_c,9.0,90.0,11.0,2438.0,0.0,2.0,0.0,0.0,0.0,1262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Seed_Control_a,0.0,0.0,0.0,5908.0,0.0,0.0,0.0,0.0,0.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,0.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,Control,NA,NA,NA
Germ_P3S2_GR24_b,0.0,2193.0,0.0,808.0,0.0,0.0,0.0,0.0,0.0,2287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.0,156.0,Germ,P3S2,tobacco,P3,MLG7
Germ_P6S1_Tabac_c,0.0,173.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,2487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.0,0.0,Germ,P6S1,hemp,P6,MLG12
Seed_P4S2_a,0.0,29.0,0.0,3968.0,0.0,200.0,0.0,0.0,0.0,4747.0,0.0,18.0,28.0,6.0,0.0,0.0,0.0,0.0,0.0,814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S2,tobacco,P4,MLG2
Seed_P6S1_b,0.0,141.0,0.0,2455.0,0.0,0.0,0.0,0.0,0.0,6463.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P6S1,hemp,P6,MLG12
Soil_P2S2_b,0.0,361.0,0.0,1066.0,31.0,132.0,0.0,8.0,0.0,3925.0,0.0,0.0,12.0,0.0,9.0,2.0,0.0,0.0,0.0,305.0,0.0,0.0,0.0,0.0,6.0,45.0,0.0,0.0,0.0,0.0,0.0,23.0,967.0,0.0,0.0,0.0,0.0,591.0,9.0,Soil,P2S2,oIlseed_rape,P2,MLG17
Seed_P4S1_b,0.0,8.0,0.0,4465.0,0.0,45.0,0.0,0.0,0.0,3880.0,0.0,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Seed,P4S1,tobacco,P4,MLG1
Germ_P4S1_Tabac_b,12.0,12.0,0.0,1955.0,3.0,0.0,0.0,0.0,0.0,2102.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Soil_P7S2_c,2.0,402.0,3.0,1016.0,345.0,56.0,0.0,9.0,0.0,4471.0,0.0,0.0,211.0,6.0,39.0,0.0,0.0,7.0,0.0,232.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,31.0,0.0,0.0,0.0,0.0,1266.0,0.0,302.0,0.0,3.0,511.0,0.0,Soil,P7S2,hemp,P7,MLG13
Germ_Control_b,0.0,1239.0,0.0,2849.0,0.0,0.0,0.0,0.0,0.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,270.0,0.0,Germ,Control,NA,NA,NA
Soil_P6S2_c,0.0,239.0,0.0,505.0,39.0,9.0,0.0,16.0,0.0,2499.0,0.0,11.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2362.0,0.0,0.0,0.0,0.0,79.0,8.0,Soil,P6S2,hemp,P6,MLG11
Germ_P4S1_GR24_a,88.0,80.0,7.0,675.0,0.0,0.0,0.0,0.0,0.0,1723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1209.0,0.0,Germ,P4S1,tobacco,P4,MLG1
Germ_P3S2_Colza_myro_c,0.0,11.0,0.0,5731.0,0.0,0.0,0.0,0.0,0.0,1706.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0,Germ,P3S2,tobacco,P3,MLG7
